course_code,course_name,majors, prerequisites,semester,count_learner,average_score,credit,is_group_c ,is_group_d
CO3115,Phân tích và thiết kế hệ thống,1|5|6,,7,1,0,3,1,0
CO4025,Mạng xã hội và thông tin,1|3,,7,0,0,3,1,0
CO3117,Học máy,1|2|3,,7,0,0,3,1,0
CO4031,Kho dữ liệu và hệ hỗ trợ quyết định,1|6,,7,0,0,3,1,0
CO4033,Phân tích dữ liệu lớn và trí tuệ kinh doanh,1|6,,7,0,0,3,1,0
CO4035,Hệ hoạch định tài nguyên tổ chức,1|6,,7,0,0,3,1,0
CO4037,Hệ thống thông tin quản lý,1|6,,7,0,0,3,1,0
CO4039,Bảo mật sinh trắc,1|6,,7,0,0,3,1,0
IM1025,Quản lý dự án cho kỹ sư,1|2|3|4|5|6,,7,1,8.4,3,0,1
IM3001,Quản trị kinh doanh cho kỹ sư,1|2|3|4|5|6,,7,1,0,3,0,1
IM1013,Kinh tế học đại cương,1|2|3|4|5|6,,7,1,0,3,0,1
IM1027,Kinh tế kỹ thuật,1|2|3|4|5|6,,7,1,0,3,0,1
IM1023,Quản lý sản xuất cho kỹ sư,1|2|3|4|5|6,,7,1,0,3,0,1
SP1007,Pháp luật Việt Nam đại cương,1|2|3|4|5|6,,8,1,8.3,2,0,0
CO4337,Đồ án tốt nghiệp,1|2|3|4|5|6,CO4029,8,1,0,4,0,0
